from april 19th ~16 to april 20th 8:27
Dette er den første linjen i filen.
141.00;2088112.00;8.50;65.20;5.60;1.40;
142.00;2102908.00;8.50;65.60;5.30;1.60;
143.00;2117705.00;8.50;65.30;4.00;1.60;
144.00;2132501.00;8.50;65.20;3.30;1.40;
145.00;2147298.00;8.50;65.90;5.50;1.50;
146.00;2162095.00;8.50;65.90;9.00;1.50;
147.00;2176890.00;8.50;66.00;6.70;1.40;
148.00;2191690.00;8.50;65.90;5.90;1.60;
149.00;2206486.00;8.50;65.70;7.50;1.80;
150.00;2221283.00;8.50;66.10;6.60;1.60;
151.00;2236080.00;8.50;66.00;7.20;1.80;
152.00;2250875.00;8.50;66.00;6.10;1.90;
153.00;2265672.00;8.50;65.60;5.60;1.90;
154.00;2280468.00;8.50;65.90;6.00;2.00;
155.00;2295265.00;8.50;65.80;4.20;1.70;
156.00;2310062.00;8.50;65.90;6.00;1.60;
157.00;2324857.00;8.40;66.90;8.30;1.70;
158.00;2339654.00;8.50;67.10;6.70;1.70;
159.00;2354451.00;8.50;66.60;3.40;1.50;
160.00;2369248.00;8.50;66.20;5.50;1.50;
161.00;2384041.00;8.40;65.90;7.50;2.00;
162.00;2398838.00;8.50;65.70;4.80;1.80;
163.00;2413634.00;8.40;65.70;4.70;1.50;
164.00;2428431.00;8.50;66.40;4.80;1.70;
165.00;2443228.00;8.50;66.40;5.80;1.80;
166.00;2458024.00;8.50;66.00;8.10;1.90;
167.00;2472821.00;8.40;65.70;8.10;2.00;
168.00;2487617.00;8.40;65.90;12.50;2.40;
169.00;2502414.00;8.40;66.00;20.10;2.90;
170.00;2517211.00;8.40;66.50;27.50;3.00;
171.00;2532006.00;8.40;66.40;24.80;3.10;
172.00;2546803.00;8.40;66.00;18.70;3.20;
173.00;2561602.00;8.40;66.00;15.50;2.90;
174.00;2576399.00;8.40;65.80;12.00;2.70;
175.00;2591195.00;8.40;66.30;13.50;2.70;
176.00;2605991.00;8.40;67.20;12.30;2.70;
177.00;2620787.00;8.30;67.50;12.20;2.50;
178.00;2635584.00;8.30;67.60;11.20;2.30;
179.00;2650387.00;8.30;67.10;6.30;2.10;
180.00;2665184.00;8.30;66.50;6.10;1.90;
181.00;2679980.00;8.30;67.60;7.60;1.80;
182.00;2694776.00;8.30;68.10;9.20;1.80;
183.00;2709573.00;8.40;68.20;7.90;1.80;
184.00;2724369.00;8.30;68.20;7.50;2.00;
185.00;2739169.00;8.30;68.00;9.90;2.40;
186.00;2754003.00;8.30;68.00;9.90;2.30;
187.00;2768799.00;8.30;67.80;10.50;2.10;
188.00;2783596.00;8.30;67.80;15.70;2.10;
189.00;2798392.00;8.30;67.70;14.40;2.00;
190.00;2813189.00;8.30;67.70;7.40;2.00;
191.00;2827985.00;8.30;68.00;5.80;2.00;
192.00;2842781.00;8.30;67.70;5.30;1.90;
193.00;2857578.00;8.30;67.40;7.10;1.90;
194.00;2872375.00;8.30;67.70;5.40;1.70;
195.00;2887172.00;8.30;68.00;3.50;1.50;
196.00;2901978.00;8.30;68.10;10.40;2.10;
197.00;2916774.00;8.30;69.10;12.00;2.10;
198.00;2931573.00;8.30;68.40;6.90;1.50;
199.00;2946369.00;8.30;67.70;5.10;1.50;
200.00;2961166.00;8.30;67.30;5.10;1.50;
201.00;2975963.00;8.40;67.10;4.80;1.50;
202.00;2990759.00;8.40;67.70;5.40;1.80;
203.00;3005555.00;8.40;67.80;5.40;1.70;
204.00;3020352.00;8.40;68.00;4.60;1.50;
205.00;3035148.00;8.40;67.80;5.50;1.40;
206.00;3049945.00;8.40;67.60;7.80;1.40;
207.00;3064741.00;8.40;67.60;7.60;1.80;
208.00;3079537.00;8.40;67.50;5.00;1.70;
209.00;3094334.00;8.40;67.30;6.10;1.40;
210.00;3109134.00;8.40;67.20;6.40;1.70;
211.00;3123931.00;8.40;67.40;5.90;1.90;
212.00;3138727.00;8.40;67.80;6.20;1.60;
213.00;3153523.00;8.40;67.60;6.80;1.40;
214.00;3168320.00;8.40;67.70;5.70;1.20;
215.00;3183117.00;8.40;67.60;4.20;1.40;
216.00;3197913.00;8.40;67.80;4.50;1.70;
217.00;3212708.00;8.40;67.70;4.90;1.60;
218.00;3227505.00;8.40;67.60;4.10;1.60;
219.00;3242302.00;8.40;67.60;5.60;1.60;
220.00;3257098.00;8.40;67.60;7.80;1.80;
221.00;3271904.00;8.40;67.40;8.30;2.20;
222.00;3286700.00;8.40;67.60;10.30;2.40;
223.00;3301500.00;8.30;68.20;9.40;2.10;
224.00;3316296.00;8.30;68.30;6.40;1.70;
225.00;3331093.00;8.30;68.30;5.60;1.50;
226.00;3345890.00;8.30;68.00;5.60;1.70;
227.00;3360686.00;8.30;67.50;5.90;2.10;
228.00;3375482.00;8.30;67.50;4.40;1.80;
229.00;3390279.00;8.30;67.90;5.00;1.50;
230.00;3405075.00;8.30;68.20;6.90;1.40;
231.00;3419872.00;8.30;68.30;5.90;1.30;
232.00;3434668.00;8.30;68.20;4.70;1.60;
233.00;3449463.00;8.30;67.70;6.70;1.90;
234.00;3464260.00;8.30;68.20;6.80;1.70;
235.00;3479059.00;8.20;68.40;10.00;2.00;
236.00;3493856.00;8.30;68.90;12.00;2.10;
237.00;3508652.00;8.20;69.40;8.80;1.90;
238.00;3523448.00;8.20;69.10;6.60;1.80;
239.00;3538245.00;8.20;68.80;5.40;1.70;
240.00;3553049.00;8.10;68.60;5.60;1.50;
241.00;3567846.00;8.20;68.50;4.90;1.50;
242.00;3582643.00;8.20;68.30;4.70;1.60;
243.00;3597440.00;8.20;68.40;4.10;1.50;
244.00;3612235.00;8.20;68.40;8.30;2.30;
245.00;3627032.00;8.20;68.30;9.70;2.50;
246.00;3641838.00;8.20;68.30;5.50;1.80;
247.00;3656638.00;8.20;68.30;4.60;1.80;
248.00;3671434.00;8.20;68.40;9.00;2.20;
249.00;3686231.00;8.20;68.90;11.60;2.50;
250.00;3701027.00;8.30;68.90;8.70;2.10;
251.00;3715823.00;8.20;68.80;6.20;2.00;
252.00;3730620.00;8.20;68.70;6.20;2.10;
253.00;3745417.00;8.20;69.20;5.00;2.00;
254.00;3760214.00;8.20;69.30;4.90;2.00;
255.00;3775010.00;8.20;68.90;6.70;1.90;
256.00;3789806.00;8.20;68.70;8.80;1.90;
257.00;3804603.00;8.30;68.70;8.50;2.10;
258.00;3819400.00;8.30;68.80;7.20;2.10;
259.00;3834196.00;8.30;68.70;6.00;1.90;
260.00;3848995.00;8.30;68.90;5.80;2.00;
261.00;3863792.00;8.30;69.40;6.10;1.90;
262.00;3878589.00;8.30;69.20;6.60;1.80;
263.00;3893385.00;8.30;69.00;7.50;1.80;
264.00;3908182.00;8.30;68.50;6.30;1.70;
265.00;3922978.00;8.30;68.40;7.90;1.80;
266.00;3937775.00;8.30;68.20;9.10;1.90;
267.00;3952571.00;8.30;68.60;7.10;1.80;
268.00;3967368.00;8.30;68.90;5.80;1.80;
269.00;3982164.00;8.30;68.80;7.00;1.80;
270.00;3996960.00;8.30;68.60;8.00;2.00;
271.00;4011757.00;8.30;68.30;8.60;2.30;
272.00;4026556.00;8.30;68.30;11.70;2.30;
273.00;4041353.00;8.20;68.80;13.10;1.90;
274.00;4056150.00;8.30;68.90;10.10;1.70;
275.00;4070945.00;8.20;69.00;9.00;1.80;
276.00;4085742.00;8.30;68.90;7.50;1.70;
277.00;4100539.00;8.30;68.60;4.60;1.70;
278.00;4115335.00;8.30;68.80;4.00;1.60;
279.00;4130169.00;8.30;68.80;4.10;1.90;
280.00;4144966.00;8.30;68.90;4.30;1.80;
281.00;4159762.00;8.30;68.60;4.40;1.70;
282.00;4174559.00;8.30;68.40;6.40;2.00;
283.00;4189356.00;8.30;68.40;6.50;1.80;
284.00;4204151.00;8.30;68.70;8.30;2.00;
285.00;4218951.00;8.30;69.00;6.90;1.90;
286.00;4233748.00;8.30;68.90;6.40;1.90;
287.00;4248545.00;8.30;69.00;10.80;2.40;
288.00;4263341.00;8.20;69.10;11.10;2.60;
289.00;4278136.00;8.20;68.80;7.70;2.20;
290.00;4292933.00;8.20;68.70;5.60;1.70;
291.00;4307729.00;8.20;68.80;6.60;1.60;
292.00;4322526.00;8.30;69.60;6.10;1.80;
293.00;4337323.00;8.20;70.10;3.60;1.60;
294.00;4352119.00;8.20;70.20;3.80;1.40;
295.00;4366915.00;8.20;70.00;5.90;1.90;
296.00;4381712.00;8.20;70.70;5.80;2.20;
297.00;4396513.00;8.20;70.40;4.90;1.90;
298.00;4411309.00;8.20;70.40;4.00;1.50;
299.00;4426104.00;8.20;70.10;4.80;1.40;
300.00;4440900.00;8.30;70.40;7.00;1.70;
301.00;4455697.00;8.30;70.40;6.60;1.80;
302.00;4470493.00;8.30;69.90;4.60;1.60;
303.00;4485289.00;8.20;69.90;4.20;1.50;
304.00;4500085.00;8.20;69.90;4.90;1.40;
305.00;4514881.00;8.20;69.80;4.60;1.50;
306.00;4529678.00;8.30;69.70;4.80;1.80;
307.00;4544474.00;8.20;69.20;7.20;2.10;
308.00;4559271.00;8.20;69.00;7.20;1.90;
309.00;4574068.00;8.20;69.10;6.30;1.30;
310.00;4588868.00;8.20;69.00;5.10;1.40;
311.00;4603665.00;8.20;69.10;4.20;1.60;
312.00;4618462.00;8.20;69.30;4.10;1.40;
313.00;4633268.00;8.20;69.30;5.10;1.30;
314.00;4648065.00;8.20;69.60;5.80;1.50;
315.00;4662860.00;8.20;69.40;4.30;1.80;
316.00;4677657.00;8.20;69.30;4.90;2.00;
317.00;4692453.00;8.20;69.30;5.70;1.80;
318.00;4707249.00;8.20;69.30;6.70;1.70;
319.00;4722045.00;8.20;69.40;5.50;1.60;
320.00;4736841.00;8.20;69.30;6.40;1.50;
321.00;4751638.00;8.20;69.20;7.00;1.40;
322.00;4766437.00;8.20;69.20;6.40;1.90;
323.00;4781234.00;8.20;69.40;7.00;2.00;
324.00;4796029.00;8.20;69.30;6.40;1.70;
325.00;4810826.00;8.20;69.50;5.20;1.50;
326.00;4825622.00;8.20;69.90;6.40;1.60;
